YEAR,COLLEGE_DESC,GENDER_DESC,NATIONALITY,STUDENT_LEVEL,TOTAL
2019/2020,Medicine & Health Sciences,Male,Nationals,Doctorate,1
2019/2020,Medicine & Health Sciences,Male,Non-nationals,Undergraduate,15
2019/2020,Medicine & Health Sciences,Male,Non-nationals,Master,5
2019/2020,Medicine & Health Sciences,Male,Non-nationals,Doctorate,14
2019/2020,Science,Female,Nationals,Undergraduate,1073
2019/2020,Science,Female,Nationals,Master,32
2019/2020,Science,Female,Nationals,Doctorate,5
2019/2020,Science,Female,Non-nationals,Undergraduate,255
2019/2020,Science,Female,Non-nationals,Master,46
2019/2020,Science,Female,Non-nationals,Doctorate,21
2019/2020,Science,Male,Nationals,Undergraduate,138
2019/2020,Science,Male,Nationals,Master,2
2019/2020,Science,Male,Nationals,Doctorate,1
2019/2020,Science,Male,Non-nationals,Undergraduate,94
2019/2020,Science,Male,Non-nationals,Master,20
2019/2020,Science,Male,Non-nationals,Doctorate,11
